SCHOOL,PROGRAM_TYPE,FEE_CATEGORY,FEE_TYPE, FULLTIME_TWOTERM_RATE , FULLTIME_TERM_RATE , PARTTIME_TERM_RATE , PARTTIME_CREDIT_RATE ,,,,,,
School of Public and International Affairs,null,Tuition Rates,Tuition Rates, null ," $13,438 ", null ," $1,079 ",,,,,,
School of Public and International Affairs,null,Mandatory Fees,Computing and Network Services Fee, null , $225 , $112 , null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Housing," $8,738 "," $4,369 "," $4,369 ", null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Books & Supplies, $566 , $283 , $283 , null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,412 "," $1,206 "," $1,206 ", null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Transportation, $792 , $396 , $396 , null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Food," $5,640 "," $2,820 "," $2,820 ", null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Housing," $9,810 "," $4,905 "," $4,905 ", null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Books & Supplies, $616 , $308 , $308 , null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,502 "," $1,251 "," $1,251 ", null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Transportation, $966 , $483 , $483 , null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Food," $5,918 "," $2,959 "," $2,959 ", null ,,,,,,
School of Public and International Affairs,null,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
Swanson School of Engineering,Graduate,Tuition Rates,Tuition Rates, null ," $15,014 ", null ," $1,421 ",,,,,,
Swanson School of Engineering,Graduate,Mandatory Fees,Computing and Network Services Fee, null , $225 , $112 , null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Housing," $8,738 "," $4,369 "," $4,369 ", null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Books & Supplies, $566 , $283 , $283 , null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,412 "," $1,206 "," $1,206 ", null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Transportation, $792 , $396 , $396 , null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Food," $5,640 "," $2,820 "," $2,820 ", null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Housing," $9,810 "," $4,905 "," $4,905 ", null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Books & Supplies, $616 , $308 , $308 , null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,502 "," $1,251 "," $1,251 ", null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Transportation, $966 , $483 , $483 , null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Food," $5,918 "," $2,959 "," $2,959 ", null ,,,,,,
Swanson School of Engineering,Graduate,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Tuition Rates,Tuition Rates, null ," $14,130 ", null ," $1,148 ",,,,,,
School of Computing and Information,Graduate MLIS,Mandatory Fees,Computing and Network Services Fee, null , $225 , $112 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Housing," $8,738 "," $4,369 "," $4,369 ", null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Books & Supplies, $566 , $283 , $283 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,412 "," $1,206 "," $1,206 ", null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Transportation, $792 , $396 , $396 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Food," $5,640 "," $2,820 "," $2,820 ", null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Housing," $9,810 "," $4,905 "," $4,905 ", null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Books & Supplies, $616 , $308 , $308 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,502 "," $1,251 "," $1,251 ", null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Transportation, $966 , $483 , $483 , null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Food," $5,918 "," $2,959 "," $2,959 ", null ,,,,,,
School of Computing and Information,Graduate MLIS,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
School of Computing and Information,Master of Data Science,Tuition Rates,Tuition Rates, null , N/A , null , $500 ,,,,,,
School of Computing and Information,Master of Data Science,Mandatory Fees,Computing and Network Services Fee, null , null , $112 , null ,,,,,,
School of Computing and Information,Master of Data Science,Mandatory Fees,Program Administration Fee, null , null , $75 , null ,,,,,,
School of Computing and Information,Master of Data Science,Other Estimated Expenses,Books & Supplies, $616 , $308 , $308 , null ,,,,,,
School of Computing and Information,Master of Data Science,Other Estimated Expenses,Transportation, $966 , $483 , $483 , null ,,,,,,
School of Computing and Information,Master of Data Science,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
School of Computing and Information,Master of Data Science,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,502 "," $1,251 "," $1,251 ", null ,,,,,,
School of Computing and Information,Master of Data Science,Other Estimated Expenses,Housing," $9,810 "," $4,905 "," $4,905 ", null ,,,,,,
School of Computing and Information,Master of Data Science,Other Estimated Expenses,Food," $5,918 "," $2,959 "," $2,959 ", null ,,,,,,
School of Nursing,Graduate Courses,Tuition Rates,Tuition Rates, null ," $15,755 ", null ," $1,280 ",,,,,,
School of Nursing,Graduate Courses,Mandatory Fees,Computing and Network Services Fee, null , $225 , $112 , null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Housing," $8,738 "," $4,369 "," $4,369 ", null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Books & Supplies, $566 , $283 , $283 , null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,412 "," $1,206 "," $1,206 ", null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Transportation, $792 , $396 , $396 , null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Food," $5,640 "," $2,820 "," $2,820 ", null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Housing," $9,810 "," $4,905 "," $4,905 ", null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Books & Supplies, $616 , $308 , $308 , null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,502 "," $1,251 "," $1,251 ", null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Transportation, $966 , $483 , $483 , null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Food," $5,918 "," $2,959 "," $2,959 ", null ,,,,,,
School of Nursing,Graduate Courses,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
Online Graduate Programs,,Other Estimated Expenses,Books & Supplies, $616 , $308 , $308 , null ,,,,,,
Online Graduate Programs,,Other Estimated Expenses,Transportation, $966 , $483 , $483 , null ,,,,,,
Online Graduate Programs,,Other Estimated Expenses,Loan Fees, $218 , $109 , $109 , null ,,,,,,
Online Graduate Programs,,Other Estimated Expenses,Miscellaneous Personal Expenses," $2,502 "," $1,251 "," $1,251 ", null ,,,,,,
Online Graduate Programs,,Other Estimated Expenses,Housing," $9,810 "," $4,905 "," $4,905 ", null ,,,,,,
Online Graduate Programs,,Other Estimated Expenses,Food," $5,918 "," $2,959 "," $2,959 ", null ,,,,,,
Online Graduate Programs,,Mandatory Fees,Computing and Network Services Fee,, $225 , $112 ,,,,,,,
